Player Name,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A
Tim Anderson SS,4,1,1,0,0,2,4,.250,.250,.250,.500,14,11,-0.036, 0.65,0.017,-0.052%,-0.02%, 0.63, -0.4,0,1
Adam Eaton RF,4,1,1,2,0,1,4,.250,.250,1.000,1.250,19,12,0.200, 0.78,0.251,-0.051%, 0.12%, 0.75, 1.3,3,0
José Abreu 1B,4,0,1,0,0,2,4,.250,.250,.250,.500,12,10,-0.039, 0.60,0.012,-0.051%,-0.02%, 0.58, -0.4,6,0
Yoan Moncada 3B,3,0,2,0,1,1,4,.667,.750,1.000,1.750,19,10,0.071, 0.74,0.094,-0.023%, 0.04%, 0.71, 0.7,1,4
Yasmani Grandal C,3,0,0,0,1,1,4,.000,.250,.000,.250,16,9,-0.069, 1.16,0.018,-0.087%,-0.04%, 1.12, -0.6,10,0
Leury Garcia LF,4,0,0,0,0,2,4,.000,.000,.000,.000,12,9,-0.153, 1.71,0.000,-0.153%,-0.09%, 1.64, -1.1,0,0
Luis Robert CF,4,1,1,0,0,1,4,.250,.250,.500,.750,9,9,-0.037, 1.35,0.106,-0.143%,-0.02%, 1.30, -0.0,2,0
Zack Collins DH,4,0,0,0,0,0,4,.000,.000,.000,.000,12,7,-0.105, 1.01,0.000,-0.105%,-0.06%, 0.98, -0.7,,
Nick Madrigal 2B,3,0,1,0,0,0,3,.333,.333,.333,.667,12,6,-0.063, 0.96,0.027,-0.091%,-0.04%, 0.92, -0.6,2,2
,,,,,,,,,,,,,,,,,,,,,,
Lucas Giolito P,,,,,,,,,,,,,,,,,,,,,0,0
   Codi Heuer P,,,,,,,,,,,,,,,,,,,,,0,0
   Aaron Bummer P,,,,,,,,,,,,,,,,,,,,,0,0
   Matt Foster P,,,,,,,,,,,,,,,,,,,,,0,0
Team Totals,33,3,7,2,2,10,35,.212,.257,.364,.621,125,83,-0.231, 1.01,0.525,-0.756%,-0.14%, 0.98, -1.8,24,7
