Player Name,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A
David Fletcher 2B,4,1,1,0,0,2,4,.250,.250,.250,.500,17,11,0.122, 1.93,0.192,-0.070%, 0.07%, 1.82, 0.1,2,3
Shohei Ohtani DH,4,1,0,0,0,1,4,.000,.000,.000,.000,13,10,0.058, 1.73,0.137,-0.078%, 0.03%, 1.62, 0.0,,
Mike Trout CF,2,1,1,1,2,1,4,.500,.750,.500,1.250,21,7,0.170, 1.40,0.180,-0.011%, 0.10%, 1.31, 0.9,2,0
Anthony Rendon 3B,3,0,1,0,1,1,4,.333,.500,.333,.833,18,11,-0.030, 1.75,0.087,-0.117%,-0.02%, 1.64, -0.2,0,2
Justin Upton LF,3,0,1,1,1,1,4,.333,.500,.333,.833,26,19,0.060, 2.46,0.233,-0.172%, 0.03%, 2.31, 0.6,2,0
Albert Pujols 1B,4,0,0,1,0,0,4,.000,.000,.000,.000,8,7,-0.021, 2.21,0.092,-0.114%,-0.01%, 2.08, -0.8,8,1
José Iglesias SS,4,0,0,0,0,0,4,.000,.000,.000,.000,14,10,-0.133, 1.25,0.000,-0.133%,-0.07%, 1.17, -1.3,1,2
Max Stassi C,3,1,2,1,0,1,3,.667,.667,1.667,2.333,11,7,0.131, 0.87,0.151,-0.020%, 0.07%, 0.82, 1.0,10,1
Dexter Fowler RF,3,0,0,0,0,3,3,.000,.000,.000,.000,12,10,-0.091, 1.10,0.000,-0.091%,-0.05%, 1.04, -0.5,2,0
,,,,,,,,,,,,,,,,,,,,,,
Dylan Bundy P,,,,,,,,,,,,,,,,,,,,,0,0
   Aaron Slegers P,,,,,,,,,,,,,,,,,,,,,0,0
   Mike Mayers P,,,,,,,,,,,,,,,,,,,,,0,1
   Raisel Iglesias P,,,,,,,,,,,,,,,,,,,,,0,0
Team Totals,30,4,6,4,4,10,34,.200,.294,.300,.594,140,92,0.266, 1.68,1.072,-0.806%, 0.15%, 1.58, -0.3,27,10
