Date,Away team,Home team
4/1/2021,Chicago White Sox,Los Angeles Angels
4/1/2021,Pittsburgh Pirates,Chicago Cubs
4/1/2021,St. Louis Cardinals,Cincinnati Reds
4/1/2021,Los Angeles Dodgers,Colorado Rockies
4/1/2021,Cleveland Indians,Detroit Tigers
4/1/2021,Texas Rangers,Kansas City Royals
4/1/2021,Tampa Bay Rays,Miami Marlins
4/1/2021,Minnesota Twins,Milwaukee Brewers
4/1/2021,Toronto Blue Jays,New York Yankees
4/1/2021,Houston Astros,Oakland Athletics
4/1/2021,Atlanta Braves,Philadelphia Phillies
4/1/2021,Arizona D'Backs,San Diego Padres
4/1/2021,San Francisco Giants,Seattle Mariners
4/2/2021,Chicago White Sox,Los Angeles Angels
4/2/2021,Baltimore Orioles,Boston Red Sox
4/2/2021,Los Angeles Dodgers,Colorado Rockies
4/2/2021,Tampa Bay Rays,Miami Marlins
4/2/2021,Houston Astros,Oakland Athletics
4/2/2021,Arizona D'Backs,San Diego Padres
4/2/2021,San Francisco Giants,Seattle Mariners
4/3/2021,Chicago White Sox,Los Angeles Angels
4/3/2021,Baltimore Orioles,Boston Red Sox
4/3/2021,Pittsburgh Pirates,Chicago Cubs
4/3/2021,St. Louis Cardinals,Cincinnati Reds
4/3/2021,Los Angeles Dodgers,Colorado Rockies
4/3/2021,Cleveland Indians,Detroit Tigers
4/3/2021,Texas Rangers,Kansas City Royals
4/3/2021,Tampa Bay Rays,Miami Marlins
4/3/2021,Minnesota Twins,Milwaukee Brewers
4/3/2021,Toronto Blue Jays,New York Yankees
4/3/2021,Houston Astros,Oakland Athletics
4/3/2021,Atlanta Braves,Philadelphia Phillies
4/3/2021,Arizona D'Backs,San Diego Padres
4/3/2021,San Francisco Giants,Seattle Mariners
4/4/2021,Chicago White Sox,Los Angeles Angels
4/4/2021,Baltimore Orioles,Boston Red Sox
4/4/2021,Pittsburgh Pirates,Chicago Cubs
4/4/2021,St. Louis Cardinals,Cincinnati Reds
4/4/2021,Los Angeles Dodgers,Colorado Rockies
4/4/2021,Cleveland Indians,Detroit Tigers
4/4/2021,Texas Rangers,Kansas City Royals
4/4/2021,Minnesota Twins,Milwaukee Brewers
4/4/2021,Toronto Blue Jays,New York Yankees
4/4/2021,Houston Astros,Oakland Athletics
4/4/2021,Atlanta Braves,Philadelphia Phillies
4/4/2021,Arizona D'Backs,San Diego Padres
4/5/2021,Houston Astros,Los Angeles Angels
4/5/2021,Tampa Bay Rays,Boston Red Sox
4/5/2021,Milwaukee Brewers,Chicago Cubs
4/5/2021,Pittsburgh Pirates,Cincinnati Reds
4/5/2021,Kansas City Royals,Cleveland Indians
4/5/2021,Minnesota Twins,Detroit Tigers
4/5/2021,St. Louis Cardinals,Miami Marlins
4/5/2021,Baltimore Orioles,New York Yankees
4/5/2021,Los Angeles Dodgers,Oakland Athletics
4/5/2021,New York Mets,Philadelphia Phillies
4/5/2021,San Francisco Giants,San Diego Padres
4/5/2021,Chicago White Sox,Seattle Mariners
4/5/2021,Toronto Blue Jays,Texas Rangers
4/6/2021,Houston Astros,Los Angeles Angels
4/6/2021,Tampa Bay Rays,Boston Red Sox
4/6/2021,Milwaukee Brewers,Chicago Cubs
4/6/2021,Pittsburgh Pirates,Cincinnati Reds
4/6/2021,Arizona D'Backs,Colorado Rockies
4/6/2021,Minnesota Twins,Detroit Tigers
4/6/2021,St. Louis Cardinals,Miami Marlins
4/6/2021,Baltimore Orioles,New York Yankees
4/6/2021,Los Angeles Dodgers,Oakland Athletics
4/6/2021,New York Mets,Philadelphia Phillies
4/6/2021,San Francisco Giants,San Diego Padres
4/6/2021,Chicago White Sox,Seattle Mariners
4/6/2021,Toronto Blue Jays,Texas Rangers
4/6/2021,Atlanta Braves,Washington Nationals
4/7/2021,Tampa Bay Rays,Boston Red Sox
4/7/2021,Milwaukee Brewers,Chicago Cubs
4/7/2021,Pittsburgh Pirates,Cincinnati Reds
4/7/2021,Kansas City Royals,Cleveland Indians
4/7/2021,Arizona D'Backs,Colorado Rockies
4/7/2021,Minnesota Twins,Detroit Tigers
4/7/2021,St. Louis Cardinals,Miami Marlins
4/7/2021,Baltimore Orioles,New York Yankees
4/7/2021,Los Angeles Dodgers,Oakland Athletics
